estrategia,modelo,escenario,task_id,expected_day,expected_hour,day_match,hour_match,sensor_match,priority_match,fuga_razonamiento
chain_of_thought,gemma2_27b,1,TASK_GEN_001,tomorrow,overnight,True,True,True,True,False
chain_of_thought,gemma2_27b,1,TASK_GEN_002,tomorrow,evening,True,True,True,False,False
chain_of_thought,gemma2_27b,1,TASK_GEN_003,the day after tomorrow,mid-day,True,True,True,True,False
chain_of_thought,gemma2_27b,1,TASK_GEN_004,the day after tomorrow,overnight,True,True,False,True,False
chain_of_thought,gemma2_27b,1,TASK_GEN_005,tomorrow,overnight,True,True,False,True,False
chain_of_thought,gemma2_27b,1,TASK_GEN_006,the day after tomorrow,morning,True,True,True,True,False
chain_of_thought,gemma2_27b,1,TASK_GEN_007,today,evening,True,True,True,True,False
chain_of_thought,gemma2_27b,1,TASK_GEN_008,tomorrow,morning,True,True,False,True,False
chain_of_thought,gemma2_27b,1,TASK_GEN_009,in three days,evening,True,True,True,True,False
chain_of_thought,gemma2_27b,1,TASK_GEN_010,in three days,afternoon,True,True,False,True,False
chain_of_thought,gemma2_27b,1,TASK_GEN_011,tomorrow,afternoon,True,True,True,True,False
chain_of_thought,gemma2_27b,1,TASK_GEN_012,in three days,morning,True,True,True,True,False
chain_of_thought,gemma2_27b,1,TASK_GEN_013,the day after tomorrow,overnight,True,True,True,True,False
chain_of_thought,gemma2_27b,1,TASK_GEN_014,tomorrow,mid-day,True,True,True,True,False
chain_of_thought,gemma2_27b,1,TASK_GEN_015,tomorrow,evening,True,True,True,True,False
chain_of_thought,gemma2_27b,10,TASK_GEN_001,in four days,morning,True,True,True,True,False
chain_of_thought,gemma2_27b,10,TASK_GEN_002,in three days,morning,True,True,True,True,False
chain_of_thought,gemma2_27b,10,TASK_GEN_003,tomorrow,afternoon,True,True,True,True,False
chain_of_thought,gemma2_27b,10,TASK_GEN_004,the day after tomorrow,mid-day,True,True,True,True,False
chain_of_thought,gemma2_27b,10,TASK_GEN_005,the day after tomorrow,morning,True,True,True,True,False
chain_of_thought,gemma2_27b,10,TASK_GEN_006,in three days,morning,True,True,True,True,False
chain_of_thought,gemma2_27b,10,TASK_GEN_007,the day after tomorrow,overnight,True,True,True,True,False
chain_of_thought,gemma2_27b,10,TASK_GEN_008,in four days,overnight,True,True,True,True,False
chain_of_thought,gemma2_27b,10,TASK_GEN_009,the day after tomorrow,morning,True,True,True,True,False
chain_of_thought,gemma2_27b,10,TASK_GEN_010,tomorrow,morning,True,True,True,True,False
